"name";"group";"egrpou";"inn"
"ПАВЛОГРАДВУГІЛЛЯ";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00178353;001783504102
"ПАО &#34;Укртатнафта&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;001523016039
"ПАО &#34;Сумское НПО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";05747991;000000000001
"ПАТ &#34;ДОНБАСЕНЕРГО&#34;  СО ПАТ &#34;ДОНБАСЕНЕРГО&#34; СЛОВ`ЯНСЬКА ТЕС";"174356d0-f393-11e6-8f0d-03f7efe17fb1";23343582;233435805036
"ПАТ &#34;ДТЕК ДНІПРООБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";23359034;233590304026
"ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00131268;001312605035
"ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34; / ВП &#34;МИРОНІВСЬКА ТЕС&#34;  ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";05470978;001312605035
"ПАТ &#34;ДТЕК ПЕМ - ЕНЕРГОВУГІЛЛЯ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00169845;001698405092
"ПАТ &#34;КРИВБАСЗАЛІЗРУДКОМ&#34; ДРУГОЙ ПОКУПАТЕЛЬ!!!!";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191307;000000000001
"ПАТ &#34;МК &#34;АЗОВСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПАТ &#34;МК &#34;АЗОСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПАТ &#34;НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ІНСТИТУТ МАШИНОБУДУВАННЯ З ДОСЛІДНИМ ЗАВОДОМ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";04819211;048192104050
"ПАТ &#34;ОРДЖОНІКІДЗЕВСЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00190928;000000000001
"ПАТ &#34;УКРТАТНАФТА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00152307;000000000001
"ПАТ &#34;Центренерго&#34; Вуглегірська ТЕС / ПАТ &#34;Центренерго&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"ПАТ &#34;ЦЕНТРЕНЕРГО&#34;/ ВУГЛЕГІРСЬКА ТЕС  ПАТ &#34;ЦЕНТРЕНЕРГО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"ПІБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНТЕРПАЙП НИЖНЬОДНІПРОВСЬКИЙ ТРУБОПРОКАТНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393116;053931104023
"ПІБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНТЕРПАЙП НОВОМОСКОВСЬКИЙ ТРУБОПРОКАТНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393139;053931304086
"ПІВДЕННИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191000;001910004055
"ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191023;001910204051
"Покупатели";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ПРАТ &#34;МК &#34;АЗОВСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПрАТ &#34;Нікопольський ремонтний завод&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";31167067;000000000001
"ПРИВАТНЕ  АКЦІОНЕРНЕ ТОВАРИСТВО &#34;АВДІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191075;001910705019
"ПРИВАТНЕ  АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КОМСОМОЛЬСЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191827;001918205428
"ПРИВАТНЕ  ПІДПРИЄМСТВО  &#34;ХАРКІВ-ЕЛЕКТРО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;346543625267
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34; ПНЕВМАТИКА &#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;002238001290
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК ПАВЛОГРАДВУГІЛЛЯ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00178353;001783504102
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄНАКІЄВСЬКИЙ КОКСОХІМПРОМ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";31272173;312721705118
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄНАКІЄВСЬКИЙ МЕТАЛУРГІЙНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00000001;000000000001
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КОМСОМОЛЬСЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191827;001918205428
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРИВОРІЗЬКИЙ ЗАВОД ГІРНИЧОГО ОБЛАДНАННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";31550176;315501704052
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЛИСИЧАНСЬКА НАФТОВА ІНВЕСТИЦІЙНА КОМПАНІЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";32292929;322929212017
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;МАРІУПОЛЬСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ ІМЕНІ ІЛЛІЧА&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";01911129;001911205195
"Приватне акціонерне товариство &#34;Науково-виробнича фірма &#34;СЕНСОР&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";23326299;000000000001
"Приватне акціонерне товариство &#34;Новотроіцьке рудоуправління&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191810;001918105333
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;НОВОТРОЇЦЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191810;001918105333
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191023;001910204051
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ТОВКАЧІВСЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";01056244;010562406169
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА &#34;КОЛОСНИКІВСЬКА&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00176584;001765805187
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЦЕНТРАЛЬНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00190977;001909704059
"Приватне акціонерне товариство &#34;Чернігівський механічний завод&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";03576858;035768525266
"ПРИВАТНЕ ПІДПРИЄМСТВО &#34;ЕЛЕКТРО-ЛІК&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";33549822;335498226573
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  &#34;ДТЕК ШАХТА КОМСОМОЛЕЦЬ ДОНБАСУ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";05508186;055081805131
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34; ІНТЕРПАЙП НОВОМОСКОВСЬКИЙ ТРУБНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393139;053931304086
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;АВДІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191075;001910705019
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ГІДРОСИЛА МЗТГ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00235814;002358108328
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДНІПРОАЗОТ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";05761620;057616204034
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДОКУЧАЄВСЬКИЙ ФЛЮСО-ДОЛОМІТНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00000001;001918505082
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДОНБАСЕНЕРГО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДОНЕЦЬККОКС&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191112;001911105098
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК ДНІПРОЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00130872;001308708243
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК ДОБРОПІЛЬСЬКА ЦЗФ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00176472;001764705070
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК ЗAХІДЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";23269555;232695513022
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК КРИМЕНГЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00131400;001314001096
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК КРИМЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00131400;001314001096
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄВРАЗ ДНІПРОДЗЕРЖИНСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";05393085;053930804037
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄВРАЗ СУХА БАЛКА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191329;001913204050
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄНАКІЄВСЬКИЙ МЕТАЛУРГІЙНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191193;001911905110
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЗАПОРІЖКОКС&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191224;001912208249
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЗАПОРІЗЬКИЙ ЗАВОД ФЕРОСПЛАВІВ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00186542;001865408241
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНГУЛЕЦЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00190905;001909004051
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНТЕРПАЙП НИЖНЬОДНІПРОВСЬКИЙ ТРУБОПРОКАТНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393116;053931104023
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРАМАТОРСЬКИЙ ЗАВОД ВАЖКОГО ВЕРСТАТОБУДУВАННЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРАСНОДОНВУГІЛЛЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";32363486;323634812075
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРИВОРІЗЬКИЙ ЗАЛІЗОРУДНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191307;001913004054
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРЮКІВСЬКИЙ ВАГОНОБУДІВНИЙ ЗАВОД&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";05763814;057638116364
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;МАРІУПОЛЬСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ ІМЕНІ ІЛЛІЧА&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";01911129;001911205195
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;НІКОПОЛЬСЬКИЙ ЗАВОД ФЕРОСПЛАВІВ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00186520;001865204076
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;НОВОКРАМАТОРСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";05763599;057635905159
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ОРДЖОНІКІДЗЕВСЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";14360570;001909204099
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ПІВДЕННИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191000;001910004055
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191023;001910204051
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ПРОМИСЛОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО &#34;КРИВБАСВИБУХПРОМ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00190934;001909304056
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ТРАНСНАЦІОНАЛЬНА ФІНАНСОВО-ПРОМИСЛОВА КОМПАНІЯ&#34;УКРТАТНАФТА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00152307;001523016039
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;УКРНАФТА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00135390;001353926654
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЦЕНТРАЛЬНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00190977;001909704059
"Публічне акціонерне товариство &#34;Центренерго&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"Публічне акціонерне товариство &#34;Центренерго&#34; ВП &#34;Ременерго&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АЛЧЕВСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";05441447;054414412064
"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО&#34;МАРГАНЕЦЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00000001;001909104062
"Рівненське відділення ВП &#34;Складське господарство&#34; ДП &#34;НАЕК &#34;Енергоатом&#34;";"523ebe70-f391-11e6-8f0d-03f7efe17fb1";36217282;000000000001
"ТОВ &#34;ВІЛ ГРУП ПЛЮС&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";39465628;394656204633
"ТОВ &#34;ЕЛЕКТРОЛІК&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ТОВ &#34;Електроналадка&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";31386990;000000000001
"ТОВ &#34;ЕНЕРГОІНВЕСТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ТОВ &#34;ЕНЕРГОПРИБОР - УКРАЇНА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";34620261;000000000001
"ТОВ &#34;КАНОН&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";24446462;244464604671
"ТОВ &#34;НАУКОВО-ВИРОБНИЧА ФІРМА &#34;УЛЬТРАКОН&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ТОВ &#34;НАУЧНО-ПРОЕКТНИЙ ЦЕНТР &#34;ДТЕК&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";32880516;000000000001
